1009119-64-5	DB09102	ABCB1; SLCO1B1; SLCO1B3; ABCG2
38270-90-5	DB09498	SLC8A1; CACNA1I
38321-02-7	DB14063	ABCB1
3863-59-0	DB14542	ABCB1; SLCO1A2; ABCG2; SLC22A8
389139-89-3	DB12455	ABCB1
397864-44-7	DB08906	ABCB1; SLCO1B1
405169-16-6	DB05928	ABCC3; ABCG2; SLCO1B1; SLCO2B1; SLCO1B3; ABCB1
41183-64-6	DB06784	TFRC; TFR2; ; FTL; FTH1
4245-41-4	DB13952	SLC22A2; SLC22A1; SLC22A3; SLCO2B1; SLCO1A2; ABCC10; SLC22A11; ABCG2; SLCO1B1; ABCB1; SLC22A8; SLCO1B3; SLCO1C1; SLCO4A1
475086-01-2	DB11362	SLCO1B1; SLCO1B3; ABCB1
478296-72-9	DB08872	SLC5A8; SLC5A6
498-95-3	DB08849	SLC36A1
50-03-3	DB14539	ABCB1; SLCO1A2; ABCG2; SLC22A8
50-50-0	DB13953	SLC22A2; SLC22A1; SLC22A3; SLCO2B1; SLCO1A2; ABCC10; SLC22A11; ABCG2; SLCO1B1; ABCB1; SLC22A8; SLCO1B3; SLCO1C1; SLCO4A1
50-57-7	DB14642	ABCC2
50-67-9	DB08839	SLC22A2
508-99-6	DB14541	ABCB1; SLCO1A2; ABCG2; SLC22A8
516-35-8	DB08833	SLCO1A2; SLC7A11
518-34-3	DB14066	ABCB1
52-21-1	DB15566	SLCO1A2; ABCB1
53003-10-4	DB11544	ABCB1
53164-05-9	DB13783	ABCC1
53230-10-7	DB00358	ABCB1
54739-18-3	DB00176	ABCB1; ABCB11
552-66-9	DB02115	ABCG2
554-13-2	DB14509	SCNN1A; SCNN1B; SCNN1G
56-53-1	DB00255	ABCG2; ABCB1; SLCO1B1; SLCO2B1; ABCB11
56575-23-6	DB14011	ABCC1; ABCG2; SLC29A1
56775-88-3	DB04832	ABCB1
57524-89-7	DB14544	ABCB1; SLCO1A2; ABCG2; SLC22A8
58-20-8	DB13943	SLCO1A2; SLC22A8; SLC22A7; ABCB1; SLC10A1; SLC22A3; SLC22A4; ABCG2
5854-93-3	DB05540	SLC7A11
594839-88-0	DB11644	ABCG2; SLC22A6; SLC22A8
5949-44-0	DB13946	SLCO1A2; SLC22A8; SLC22A7; ABCB1; SLC10A1; SLC22A4; ABCG2; SLC22A2; SLC47A1; SLCO1B3
60205-81-4	DB00332	SLC22A5; SLC22A4
607723-33-1	DB09198	SLCO1B1; SLCO3A1; ABCB1
608141-41-9	DB05676	ABCB1
62996-74-1	DB02010	ABCB1
630420-16-5	DB11586	SLCO1B1; SLCO1B3; SLCO2B1; ABCB1
63503-12-8	DB09502	SLC2A4; SLC2A2; SLC2A1; SLC2A3; SLC2A9; SLC2A5; SLC2A6; SLC2A7; SLC2A8; SLC2A10; SLC2A11; SLC2A12
635715-01-4	DB05889	ABCB1
63631-40-3	DB08856	SLCO1B1
64-86-8	DB01394	ABCB1
640-79-9	DB02123	ABCB11; SLCO1A2; SLC10A2; SLC10A1
65277-42-1	DB01026	ABCB1; SLCO1B1; ABCB11
656247-17-5	DB09079	ABCB1; SLC22A1; ABCG2
66258-76-2	DB00319	SLC22A6; SLC22A8
668270-12-0	DB08882	ABCB1; SLC22A1; SLC22A2; SLC22A3
68506-86-5	DB01080	SLC36A1
6998-60-3	DB11753	SLCO1A2; SLCO1B1; SLCO1B3; SLCO2A1; SLCO2B1; SLC47A1; ABCB1
72025-60-6	DB08855	SLCO1B1; SLCO1B3
722492-56-0	DB06215	TF; FTL; FTH1
72590-77-3	DB14543	ABCB1; SLCO1A2; ABCG2; SLC22A8
73573-87-2	DB00983	SLC22A1; SLC22A3; SLC22A4; SLC22A5
738606-46-7	DB11936	SLCO1B1; ABCC3; SLCO1B3
74050-20-7	DB14538	ABCB1; SLCO1A2; ABCG2; SLC22A8
7558-79-4	DB14502	SLC20A1; SLC20A2; SLC34A1; SLC34A2; SLC34A3
763113-22-0	DB09074	ABCB1; ABCG2
7646-85-7	DB14533	SLC30A1; SLC30A2; SLC30A3; SLC30A4; SLC30A6; SLC30A5; SLC30A7; SLC30A8; SLC30A9; SLC30A10; SLC39A1; SLC39A2; SLC39A3; SLC39A4; SLC39A5; SLC39A6; SLC39A7; SLC39A8; SLC39A9; SLC39A10; SLC39A11; SLC39A12; SLC39A13; SLC39A14
7658-08-4	DB03773	SLC16A7; SLC16A1
7695-91-2	DB14003	TTPA; SEC14L4; SEC14L2; SEC14L3; APOBR; SCARB1; ABCB1
7720-78-7	DB13257	SLC11A2; SLC40A1
7732-97-0	DB13955	SLC22A2; SLC22A1; SLC22A3; SLCO2B1; SLCO1A2; ABCC10; SLC22A11; ABCG2; SLCO1B1; ABCB1; SLC22A8; SLCO1B3; SLCO1C1; SLCO4A1
7757-79-1	DB11090	MUC1
7758-98-7	DB06778	ALB; CP
7783-00-8	DB11127	SEPP1
7789-77-7	DB14481	SLC20A1; SLC20A2; SLC34A1; SLC34A2; SLC34A3; TRPV6; SLC8A1; TRPV5; RYR1; RYR2; PKD2L1; RYR3; PKD1L3; CATSPER1; CACNA1C; CACNA1D; CACNA1F; CACNA1S; CACNB1; CACNB2; CACNB3; CACNB4; CACNA1A; CACNA1A; CACNA1G; CACNA1H; CACNA1I; CACNA1E
78370-13-5	DB14064	ABCB1
8013-17-0	DB09344	SLC2A2; SLC2A5
8063-17-0	DB09363	SLC6A2; VMAT2
80890-47-7	DB14062	ABCB1
84082-80-4	DB01323	ABCB1
85650-52-8	DB00370	SLC6A4
860005-21-6	DB11660	SLCO2B1
864750-70-9	DB11855	SLCO1B1; SLCO1B3; ABCB1; ABCG2
866323-14-0	DB05015	ABCB1
87-89-8	DB13178	SLC5A3
873857-62-6	DB08874	ABCB1
88373-73-3	DB08861	SLCO1B3
9002-96-4	DB11635	TTPA; SCARB1; NPC1L1; ABCG5; ABCG8; ABCA1; SEC14L4; SEC14L2; SEC14L3; APOBR
9011-97-6	DB08862	SLCO1B3; SLCO1B1; SLCO2B1
901119-35-5	DB12010	ABCG2; ABCB5
90357-06-5	DB01128	ABCB1
90566-53-3	DB13867	ABCB1; SLCO1B1
914088-09-8	DB08870	ABCB5
916072-89-4	DB11691	ABCB5
923604-59-5	DB06290	ABCB1; SLCO1B1; SLCO1B3; ABCC2; ABCG2; SLCO2B1; SLC10A1; ABCB11
92689-49-1	DB06420	ABCB1
928134-65-0	DB11837	SLCO1B1; SLC22A1; SLC22A2; SLC22A6; SLC22A8; SLC47A1
937263-43-9	DB11652	ABCG2; ABCB1; SLC22A2; SLC47A1; SLC47A2
956136-95-1	DB12866	SLC22A8
96847-54-0	DB08918	ABCB1
979-32-8	DB13956	SLC22A2; SLC22A1; SLC22A3; SLCO2B1; SLCO1A2; ABCC10; SLC22A11; ABCG2; SLCO1B1; ABCB1; SLC22A8; SLCO1B3; SLCO1C1; SLCO4A1
